-6040,-4485,-7753,-1809,-2205,-1545,-1957,-2725,-467,-6475,-3205,-5635,-2795,-2693,-7845,-5397,-2981,-2897,-3051,-3531,-2523,-5877,-3125,-4133,-1555,-4235,-367,-6485,-5409,-4957,-347,349,-2309,-6411,-221,-2257,-321,-1099,933,-5845,149,-1707,-2577,469,-169,233,-1707,-3733,-69,187,-107,-437,643,-1089,-215,-895,-469,-1137,-405,-823,-617,-1483,-17361,-1675
-6100,-4491,-7931,-1555,-2025,-1469,-1647,-2647,-223,-6293,-3125,-5409,-2631,-2535,-7389,-5317,-2933,-2731,-2901,-3329,-2259,-5853,-2927,-3909,-1367,-3907,-263,-6319,-4981,-4685,-347,383,-2337,-5867,-257,-2181,-203,-987,843,-5923,171,-1605,-2429,417,-161,209,-1579,-3651,29,201,71,-379,559,-947,-57,-713,-339,-951,-259,-673,-373,-1243,-16009,-1961
-5412,-3923,-7205,-1119,-1547,-1131,-1109,-2217,67,-5385,-2697,-4625,-2193,-2043,-6139,-4625,-2517,-2199,-2391,-2731,-1707,-5249,-2411,-3211,-1013,-3147,-41,-5495,-3973,-3765,-271,507,-2015,-4725,-145,-1813,-67,-629,683,-5335,213,-1227,-1931,375,-91,267,-1173,-3125,201,277,249,-257,499,-651,163,-381,-131,-581,37,-341,-69,-987,-12907,-1943
-4106,-2771,-5611,-469,-789,-515,-459,-1447,309,-3799,-1813,-3203,-1307,-1171,-3989,-3283,-1665,-1313,-1583,-1669,-987,-3913,-1491,-2007,-351,-1931,311,-3987,-2373,-2287,-55,635,-1435,-3051,21,-1173,107,-91,439,-4139,267,-649,-1169,375,9,363,-577,-2133,405,373,427,-53,427,-171,347,43,171,-85,467,133,363,-291,-9173,-1557
-2352,-1205,-3497,255,47,267,303,-405,521,-1807,-651,-1467,-259,-133,-1453,-1645,-565,-235,-619,-425,-97,-2231,-363,-653,395,-555,677,-2211,-555,-587,235,763,-595,-1015,275,-347,337,535,293,-2581,321,55,-213,389,169,491,119,-949,621,459,597,131,425,381,535,421,469,429,893,567,751,509,-4501,-955
-446,465,-1117,837,837,1007,1003,681,741,351,619,401,843,931,1313,171,661,949,465,907,841,-325,859,765,1025,911,917,-235,1327,1315,521,835,221,983,529,501,547,1099,139,-821,405,725,715,401,265,597,805,343,789,599,721,363,365,811,735,745,765,859,1261,919,1107,549,1907,-197
1548,2165,1429,1233,1451,1685,1493,1609,933,2491,1885,2185,1877,1919,4013,1963,1809,2011,1397,2101,1621,1621,1953,2129,1517,2283,1141,1789,2991,3077,779,895,979,2839,741,1241,695,1579,-21,1035,459,1285,1493,443,363,721,1307,1607,931,715,779,539,343,1195,811,989,981,1197,1605,1225,1425,1239,5909,597
3254,3467,3637,1387,1865,2121,1771,2193,1067,4169,2773,3373,2483,2517,6059,3413,2601,2677,2037,2853,2075,3339,2635,3157,1845,3157,1257,3411,4009,4393,971,977,1515,4059,895,1715,837,1899,-85,2625,517,1673,1957,465,445,795,1659,2563,1045,805,813,623,343,1387,937,1173,1205,1411,1867,1365,1621,1071,9221,1317
4340,4331,5387,1509,2229,2467,2059,2603,1281,5389,3435,4309,2933,3089,7541,4425,3155,3235,2513,3451,2445,4633,3113,3805,2209,3803,1467,4565,4805,5325,1015,979,1877,4873,1051,1941,933,2121,-111,3665,559,1933,2359,515,523,853,1903,3137,1141,915,845,733,389,1605,951,1283,1349,1591,2013,1483,1675,1257,12755,1829
5012,4983,6561,1547,2323,2743,2197,2925,1381,6277,3925,4917,3155,3435,8313,4955,3547,3549,2795,3831,2667,5481,3371,4187,2389,4181,1583,5341,5269,5975,1111,939,2155,5365,1221,2001,1003,2197,-65,4171,657,2085,2603,565,595,907,2037,3469,1171,923,851,779,469,1673,907,1285,1365,1683,2055,1541,1653,1103,15363,2165
