684,17365,4501,7301,617,10987,1239,8401,-2391,2965,-8617,-837,-6679,-5793,10107,2523,-325,-779,-2143,45,341,467,-1221,109,629,3619,5931,2577,12725,13187,8707,13359,-3861,10273,-16997,1489,-28673,2317,-22277,-467,-22971,-6085,-30113,-14753,-19931,-8245,-22469,-19369,-12123,7971,-5549,2769,-12069,-4187,-2033,10923,7299,11885,14267,4919,24435,20993,-14251,19435
-118,13765,3349,4283,2453,7893,3413,5573,645,2495,-773,381,-2379,-2465,13193,3977,-421,1291,-2059,171,-401,91,-1141,-1065,323,977,3877,1573,9819,10315,7829,11925,-3189,8983,-14619,875,-22785,1675,-19019,-95,-19073,-4855,-24533,-11717,-16859,-6255,-18379,-15947,-11413,6417,-5719,1857,-11853,-3181,-2423,8617,5823,9349,11895,2989,20513,16429,-13877,18389
-714,8835,1899,563,3857,4055,4949,2115,3575,1889,8789,1609,2069,1333,14519,4791,-309,3259,-1547,431,-869,-169,-747,-1829,171,-1611,1243,321,5627,6181,5525,8595,-1963,6367,-9813,201,-13747,923,-13019,339,-12577,-2833,-16005,-6737,-11403,-3255,-11669,-10147,-8949,3957,-4971,681,-9973,-1619,-2341,5125,3601,5635,8101,619,14251,9829,-11723,14905
-1092,2827,379,-3375,4909,-191,6057,-1691,6507,1269,19601,2773,6645,5353,14357,5211,21,4923,-683,801,-1163,-221,-131,-2283,87,-3669,-1389,-863,939,1621,2327,4261,-555,3037,-3881,-425,-3349,111,-5675,645,-4619,-555,-5793,-1111,-4769,13,-3875,-3651,-5611,939,-3701,-535,-7099,81,-2003,1099,951,1269,3563,-1707,7131,2517,-7923,10017
-1230,-3631,-1041,-6595,5307,-4053,6453,-4823,8561,643,30921,3525,10281,8597,12265,4969,447,5803,331,1105,-1211,-171,643,-2357,117,-5077,-3499,-1781,-3817,-2955,-1153,-587,969,-643,2731,-987,7549,-517,2421,917,4309,1947,5281,4873,2549,3413,4229,3163,-1365,-2251,-1771,-1573,-3099,2001,-1247,-3155,-1787,-3333,-1347,-3489,-597,-5301,-2889,4023
-1196,-9621,-2123,-9263,5157,-6977,6289,-7251,9911,43,32767,3979,12695,10827,8533,4163,891,6161,1451,1357,-1099,21,1437,-2089,235,-5899,-4905,-2421,-7445,-6485,-4229,-5077,2377,-3973,9053,-1363,18603,-955,10411,1033,13231,4117,16619,10113,9821,6283,11627,9131,2941,-4781,441,-2315,1253,3675,-273,-6517,-3857,-7051,-5671,-4725,-8311,-12699,3179,-2493
-970,-14545,-2883,-11019,4283,-8779,5123,-8751,9989,-443,32767,3973,13333,11703,3541,2709,1323,5737,2355,1467,-777,277,2091,-1427,407,-5815,-5749,-2795,-9929,-8707,-6481,-8375,3525,-6359,14405,-1515,29585,-1115,17325,1221,21009,5889,27447,14289,16169,8513,17365,13911,7189,-6679,2901,-2697,5815,4981,1007,-8981,-5285,-9809,-8705,-5525,-15185,-19127,9381,-8677
-530,-17067,-3205,-11499,2783,-9301,3061,-9041,8777,-801,32767,3419,12027,11329,-2069,863,1579,4575,2859,1431,-277,523,2425,-553,515,-5067,-5733,-2771,-10921,-9451,-8023,-10475,4173,-7835,18027,-1455,32767,-1003,21957,1283,26305,6789,31017,16587,20267,9643,20427,16417,10373,-7755,5035,-2769,9545,5531,2219,-10257,-6013,-11307,-10241,-5667,-19913,-23627,14979,-13603
74,-17111,-3145,-10881,767,-8663,341,-8279,6229,-1059,28507,2369,8663,9605,-7391,-1323,1739,2799,3049,1251,437,791,2525,567,649,-3433,-5067,-2399,-10617,-8983,-8513,-11019,4283,-8111,19275,-1141,23745,-607,23557,1237,28067,6891,26533,17003,21561,9729,20945,16897,12035,-7831,6469,-2443,11991,5577,3159,-10261,-5893,-11305,-10333,-5109,-21717,-24885,18691,-16495
832,-13907,-2615,-8833,-1601,-6613,-2773,-6313,2371,-1227,19185,725,3573,6505,-11433,-3287,1685,579,2833,929,1185,1001,2285,1685,727,-1365,-3515,-1643,-8599,-6997,-8059,-10347,3947,-7491,18441,-673,17059,-95,22209,1027,26449,6105,23127,15465,19947,8401,18699,15147,11947,-6907,6995,-1845,12677,4759,3571,-8619,-4907,-9323,-8617,-3573,-19233,-21445,19349,-17029
1476,-8613,-1745,-5899,-3435,-3689,-5153,-3549,-1813,-1203,8277,-979,-2005,2627,-13707,-4681,1455,-1623,2209,491,1739,1093,1779,2519,721,929,-1493,-623,-5485,-3947,-6475,-8041,2921,-5507,14781,-5,11845,613,17353,619,21131,4427,17385,11865,15253,5743,13729,11349,10315,-4971,6633,-957,11605,3265,3587,-5845,-3203,-5941,-5471,-1509,-13953,-15813,16969,-14123
1940,-2003,-473,-2347,-4715,53,-6609,-181,-5123,-795,-3251,-2267,-7023,-1673,-14101,-5451,1109,-3285,1337,145,2113,1119,1119,3067,789,3291,763,475,-1563,-211,-4107,-4757,1385,-2837,9391,631,3945,1205,10539,105,13545,2069,9331,6785,8773,2313,7083,5989,7189,-2581,5259,-117,8657,1115,2997,-2373,-1117,-1941,-1515,557,-6933,-8543,11781,-9079
2178,4853,1065,1483,-5367,4101,-7147,3423,-7209,-109,-14993,-3099,-10505,-5461,-12485,-5433,791,-4329,367,-85,2271,1173,467,3307,905,5269,3115,1629,3029,4133,-1261,-701,-419,373,2833,1207,-6027,1707,2373,-421,4369,-673,-595,605,1169,-1557,-833,-649,2789,277,3083,851,4339,-1169,2025,1675,1301,2561,3067,2647,915,-529,5409,-2731
2258,10837,2579,4997,-5253,7821,-6725,6657,-8235,839,-26667,-3493,-12597,-8045,-9195,-4627,505,-4773,-475,-189,2279,1209,-73,3275,1045,6547,5163,2517,7405,8227,1979,3835,-2027,3861,-4395,1643,-17089,2117,-6569,-809,-5565,-3133,-11639,-5803,-6901,-4881,-9225,-7765,-2081,3223,555,1821,-597,-2863,917,5547,3753,6729,7595,4435,8769,7233,-1205,4011
2132,15557,3927,7735,-4331,10721,-5321,8997,-8041,1879,-26321,-3285,-13073,-9309,-4395,-3029,279,-4521,-1131,-131,2081,1197,-471,2907,1161,7121,6545,3049,10971,11563,5011,8117,-3109,6933,-10761,1877,-28501,2443,-14635,-923,-14805,-4841,-23127,-10827,-13907,-7163,-16469,-13787,-6395,5877,-1865,2633,-5227,-3887,-95,8873,5905,10241,11509,5717,16017,14211,-7317,10347
1800,18091,4759,8885,-2733,12241,-3121,9975,-6561,2693,-16595,-2613,-11809,-9105,1247,-1035,53,-3621,-1685,-41,1601,1061,-841,2135,1083,6657,7173,3245,13205,13701,7403,11467,-3807,9199,-15063,1963,-31523,2637,-20171,-907,-21077,-5979,-31855,-14185,-18561,-8619,-21547,-18153,-9675,7671,-3741,3067,-8805,-4469,-997,10961,7297,12265,14055,6199,21733,19509,-11523,15557
1234,18579,4843,8617,-997,12247,-853,9707,-4665,2965,-12507,-1783,-9589,-7913,6569,979,-215,-2257,-2057,21,937,763,-1153,1067,875,5291,6805,3019,13595,14069,8661,13249,-4027,10305,-17003,1771,-30277,2593,-22365,-661,-23365,-6319,-31361,-15177,-20225,-8805,-23121,-19753,-11503,8235,-4929,3077,-11065,-4459,-1621,11473,7661,12585,14819,5795,24619,21867,-13789,18635
468,16513,4229,6595,1067,10249,1669,7763,-1739,2827,-6789,-619,-5743,-5131,10967,2837,-405,-331,-2219,93,115,357,-1285,-209,533,2987,5515,2347,12197,12655,8649,13271,-3767,10149,-16717,1367,-27601,2193,-21793,-341,-22305,-5879,-29195,-14259,-19467,-7909,-21749,-18859,-12077,7747,-5641,2597,-12117,-4001,-2117,10513,7061,11435,13915,4523,23809,20213,-14315,19477
-298,12683,3035,3489,2811,7035,3739,4919,1281,2415,1367,661,-1451,-1667,13649,4203,-447,1725,-2005,243,-523,35,-1097,-1213,277,427,3261,1243,8853,9387,7401,11245,-2869,8401,-13487,747,-20611,1531,-17581,71,-17441,-4361,-22445,-10517,-15561,-5493,-16705,-14529,-10769,5925,-5511,1611,-11351,-2763,-2325,7861,5379,8581,11099,2473,19081,14955,-13653,17627
-760,7751,1685,-211,4187,3247,5269,1483,4277,1867,11051,1955,3089,2267,14849,4971,-265,3717,-1409,537,-919,-171,-623,-1909,149,-2131,731,53,4681,5289,4821,7637,-1665,5651,-8521,55,-11125,715,-11383,421,-10789,-2377,-13589,-5571,-9919,-2549,-9821,-8779,-8457,3281,-4883,341,-9565,-1375,-2413,4357,3005,4749,7213,105,12833,8413,-10991,13835
-1120,1509,101,-4115,5093,-1093,6211,-2357,7075,1195,22019,2981,7531,6161,14213,5215,91,5205,-549,855,-1205,-239,35,-2341,137,-4055,-1839,-1083,-69,693,1669,3337,-277,2357,-2661,-555,-653,-53,-4137,661,-2891,-47,-3403,17,-3363,725,-2195,-2371,-5037,209,-3515,-843,-6441,427,-1925,199,309,277,2581,-2137,5673,1093,-6825,8937
-1254,-5013,-1301,-7269,5321,-4843,6501,-5431,8969,491,32767,3623,10973,9177,11649,4821,491,5973,553,1109,-1237,-191,815,-2385,131,-5419,-3881,-1941,-4695,-3801,-1837,-1579,1267,-1417,4043,-1071,10257,-661,4053,915,6195,2423,7689,6013,3989,4117,5803,4437,-673,-2891,-1429,-1775,-2293,2331,-1111,-3989,-2305,-4269,-2311,-3781,-2129,-6795,-1643,2669
-1190,-10893,-2315,-9829,5045,-7529,6101,-7669,10093,-83,32767,4009,13077,11139,7607,3883,981,6153,1651,1355,-1057,21,1589,-2007,235,-6037,-5251,-2579,-8193,-7127,-4747,-5921,2683,-4565,10331,-1395,21269,-1021,12043,1115,15147,4649,18987,11267,11285,6949,13099,10437,3907,-5265,1005,-2351,2379,4143,73,-7205,-4203,-7781,-6437,-4937,-9939,-14213,4471,-3927
-912,-15207,-2903,-11237,4053,-9003,4773,-8843,9875,-491,32767,3895,13227,11733,2467,2369,1387,5559,2475,1481,-683,305,2197,-1257,411,-5749,-5867,-2829,-10307,-8983,-6917,-9029,3729,-6811,15435,-1531,32075,-1161,18697,1237,22613,6191,29447,14997,17371,8877,18403,14715,8023,-7017,3433,-2699,6803,5235,1303,-9399,-5499,-10283,-9141,-5613,-16451,-20265,10659,-9965
-422,-17237,-3129,-11477,2469,-9301,2615,-8963,8469,-801,32767,3281,11589,11177,-3163,459,1643,4335,2933,1429,-137,565,2475,-329,531,-4869,-5653,-2723,-10935,-9407,-8245,-10715,4245,-7983,18435,-1419,31041,-983,22469,1237,26963,6859,29995,16759,20737,9745,20689,16641,10727,-7851,5355,-2709,10165,5641,2423,-10309,-6015,-11339,-10283,-5533,-20453,-24065,16099,-14347
232,-16617,-3017,-10521,277,-8361,-329,-7945,5501,-1107,26635,2031,7727,9041,-8365,-1801,1759,2391,3039,1211,597,853,2493,821,649,-3083,-4829,-2305,-10357,-8709,-8449,-11009,4279,-8105,19307,-1077,21673,-565,23571,1189,28177,6837,25937,16937,21547,9621,20773,16821,12123,-7765,6659,-2337,12321,5549,3263,-10059,-5739,-11041,-10091,-4847,-21537,-24457,19051,-16809
