-3212,-5943,4699,-8955,10403,-4165,13781,-5051,16083,8871,32767,12331,28113,29803,28291,11029,6133,14891,18641,9033,5225,5909,11159,3051,9723,375,837,-1327,-7275,-6211,-329,349,-1211,47,-853,-1033,1131,-711,715,-2089,-135,-959,45,-1133,989,-1033,6999,-1585,-10827,-2605,-9219,-8299,-8587,-7029,-9221,-1781,-3125,-1353,1061,-4443,-7401,-11857,14453,6379
-12436,-16555,5885,-15171,12775,-9771,16731,-9225,22529,13377,32767,20203,32767,32767,21599,11553,13431,19035,27911,15699,12587,11749,20843,5413,15957,1131,1783,-1425,-9377,-8027,-4171,-5115,-2293,-4225,-2043,-1827,349,-2589,553,-4443,1025,-2143,1911,-2837,531,-2811,3627,-2619,-12903,-12933,-11883,-16169,-7189,-13867,-13313,-10975,-12969,-11101,-8405,-10149,-17941,-22699,24491,-2989
-19188,-27179,6507,-19265,13547,-13207,16977,-11955,24659,16139,29077,24097,32767,23561,12523,10335,19029,20651,25989,19905,18049,15895,28485,7029,19627,1845,2607,-1299,-10095,-8595,-6871,-9053,-2775,-7107,-2475,-2283,149,-3611,851,-5855,2619,-2725,4123,-3563,587,-3695,171,-2775,-12929,-22747,-12705,-21825,-4399,-17579,-15253,-17873,-20155,-20009,-17541,-14165,-26881,-28101,32767,-13047
-21290,-30793,6291,-21003,12193,-14757,14027,-13237,22673,16643,17643,24515,29601,15635,2117,7441,22021,19461,22623,21027,20523,17509,31579,7745,20713,2379,3157,-1001,-9493,-7895,-8425,-11179,-2665,-8705,-2251,-2323,309,-3905,1429,-6411,4027,-2825,5915,-3651,875,-3947,-3045,-2389,-10885,-28003,-11643,-24019,-719,-18689,-15125,-20993,-22443,-24771,-22281,-16197,-24517,-24081,32767,-22709
-20930,-27275,5429,-20693,9429,-14639,9507,-13035,19201,15405,5861,22613,23589,13345,-8837,3629,22123,15829,20289,19659,20363,16901,29003,7397,19255,2505,3211,-577,-7691,-6133,-8879,-11723,-2187,-9029,-1675,-2039,491,-3547,1803,-6191,4779,-2493,6931,-3183,1059,-3657,-5493,-1685,-7477,-27179,-9173,-22027,3093,-17595,-13205,-21313,-21935,-25165,-21781,-16183,-21035,-21481,32767,-28435
-17548,-21413,3393,-17867,4677,-12331,3499,-10859,13137,11779,-6133,17769,14187,6609,-19893,-1313,18433,9589,15489,15709,17259,13643,22853,5835,15187,2235,2805,-81,-4737,-3317,-8269,-10901,-1429,-8277,-891,-1493,481,-2731,1787,-5381,4881,-1931,7077,-2465,879,-2999,-7533,-981,-3393,-23787,-5723,-18473,6267,-14669,-9813,-19167,-18885,-22357,-19123,-14211,-17079,-17323,27525,-27969
-12156,-13449,931,-13419,-585,-8529,-3013,-7499,5355,6859,-18117,11365,3189,-2477,-28247,-5797,12549,2211,8495,10219,12203,8795,14995,3575,9403,1727,2091,443,-1099,107,-6785,-8619,-675,-6249,-217,-803,19,-1515,1131,-4005,3861,-1099,5861,-1495,213,-2053,-8949,-273,1431,-17349,-1275,-12917,8419,-9609,-4797,-14315,-13079,-16311,-13867,-10339,-9957,-9739,17141,-23231
-5270,-3753,-1629,-7547,-5549,-3365,-8635,-3081,-3115,1019,-29185,3477,-8389,-13021,-22251,-9093,5251,-5667,-421,3333,5413,2709,5555,843,2165,1195,1261,967,2987,3863,-4437,-5205,181,-3371,579,43,-309,21,421,-2165,2389,-65,3947,-235,-421,-731,-9281,469,5883,-9067,3331,-6069,9335,-3349,791,-7703,-5655,-8287,-6891,-5451,-1131,-445,6363,-16201
2798,6821,-3893,-693,-9669,2827,-12497,2081,-10981,-5259,-25163,-5673,-20061,-24357,-18435,-11497,-2897,-12779,-10345,-4475,-2647,-4133,-4933,-2027,-5899,533,331,1385,6827,7391,-1535,-997,1119,119,1345,951,-555,1717,-277,-43,573,1083,1503,1165,-953,779,-8427,1189,9545,307,7531,1535,9151,3605,6461,219,2923,941,1421,55,8645,9937,-4635,-7723
11306,17515,-5883,6085,-12885,8821,-15179,6809,-16645,-10711,-14113,-15277,-29445,-31397,-14293,-12841,-10773,-17571,-20643,-11891,-10939,-10561,-15509,-4491,-13267,-219,-645,1557,9739,10145,1757,3753,1963,3927,2065,1803,-567,3393,-853,2195,-1237,2185,-1155,2539,-1261,2337,-6411,1779,11863,10193,10817,9357,7813,10601,11435,8821,12113,10369,10595,5557,19017,21075,-15721,1493
