2194,13313,3233,6459,-5025,9355,-6353,7883,-8339,1309,-29635,-3479,-13109,-8907,-6931,-4043,363,-4653,-841,-165,2197,1235,-309,3117,1117,6869,5961,2797,9307,10051,3605,6053,-2667,5445,-7791,1773,-22791,2263,-10863,-917,-10539,-4147,-17419,-8565,-10633,-6229,-13147,-10999,-4249,4641,-745,2237,-2983,-3563,395,7323,4909,8553,9675,5131,12419,10635,-4711,7157
2004,16939,4319,8411,-3701,11607,-4427,9555,-7465,2265,-21057,-3017,-12669,-9427,-1481,-2165,139,-4001,-1397,-43,1843,1173,-661,2539,1169,6895,6933,3191,12219,12781,6331,9897,-3595,8127,-13147,1909,-31845,2539,-17747,-983,-18391,-5581,-28821,-12705,-16529,-8149,-19349,-16181,-8043,6891,-2969,2827,-7147,-4357,-645,10003,6665,11307,12875,5995,18965,16873,-9963,12953
1514,18277,4747,8747,-1931,12341,-2027,9857,-5739,2795,-14069,-2261,-10927,-8745,4179,-169,-69,-2811,-1835,51,1301,983,-929,1619,1041,6079,7061,3179,13467,14021,8149,12485,-4079,9809,-16325,1861,-30915,2539,-21685,-877,-22725,-6363,-31701,-14949,-19689,-8949,-22795,-19233,-10651,8003,-4515,3013,-10069,-4651,-1403,11209,7477,12393,14421,5943,23221,20661,-13005,17109
852,17641,4565,7701,73,11413,533,8813,-3165,2923,-10165,-1187,-7691,-6571,9363,1941,-299,-1099,-2121,109,529,579,-1163,375,725,4129,6263,2747,13101,13643,8725,13289,-4007,10213,-16999,1547,-29257,2283,-22379,-617,-23235,-6293,-30741,-15017,-20105,-8597,-22885,-19635,-11979,8021,-5539,2771,-11857,-4467,-2043,11099,7425,12073,14437,5177,24597,21449,-14299,18889
42,14533,3621,4991,1995,8651,2981,6315,-145,2603,-2939,77,-3461,-3387,13033,3605,-397,957,-2091,209,-257,163,-1187,-819,395,1603,4363,1803,10577,11077,8201,12387,-3509,9363,-15443,1045,-24609,1769,-20069,-267,-20293,-5329,-26261,-12653,-17771,-6977,-19585,-16941,-11573,6827,-5819,2037,-11941,-3555,-2357,9173,6189,9929,12453,3445,21595,17681,-14217,18593
-550,10107,2339,1571,3659,5077,4869,3163,2899,2123,6063,1387,989,301,14995,4715,-277,2953,-1681,395,-747,-117,-851,-1641,213,-983,1877,613,6699,7255,6121,9419,-2379,7025,-11083,383,-16059,1067,-14605,183,-14273,-3467,-18219,-8097,-12811,-4143,-13355,-11681,-9641,4517,-5371,913,-10561,-2135,-2485,6005,4105,6571,9047,1185,15937,11623,-12443,15605
-978,4475,841,-2385,4831,893,6229,-595,5963,1517,16549,2587,5687,4397,15413,5281,11,4725,-969,723,-1093,-213,-301,-2219,99,-3273,-757,-585,2231,2907,3157,5381,-1033,3947,-5585,-277,-5941,277,-7787,517,-6917,-1291,-8555,-2797,-6613,-1025,-5941,-5523,-6871,1619,-4439,-373,-8201,-547,-2359,2197,1573,2441,4819,-1133,9195,4689,-8851,11269
-1228,-1973,-683,-5845,5377,-3243,6807,-4001,8195,823,27823,3413,9601,7853,13707,5163,375,5803,61,1027,-1243,-201,447,-2399,111,-4823,-3093,-1587,-2665,-1813,-235,735,521,341,821,-837,4809,-375,47,803,1709,1245,2211,3191,467,2459,2027,1339,-2687,-1557,-2555,-1371,-4341,1467,-1643,-2181,-1189,-2231,-93,-3107,1589,-3061,-4113,5641
-1234,-8209,-1867,-8723,5355,-6447,6741,-6675,9749,151,32767,3905,12405,10323,10199,4469,809,6251,1139,1257,-1173,-117,1239,-2251,141,-5845,-4651,-2295,-6677,-5727,-3603,-4061,2021,-3237,7425,-1259,15797,-837,8237,987,10819,3611,13483,8777,7881,5579,9763,7745,1737,-4267,-309,-2113,59,3317,-631,-5823,-3419,-6231,-4665,-4453,-6273,-10757,1751,-835
-1038,-13313,-2693,-10715,4683,-8529,5749,-8411,10129,-357,32767,4015,13527,11553,5333,3177,1239,5987,2107,1397,-877,151,1925,-1673,275,-5993,-5699,-2733,-9477,-8277,-6011,-7723,3333,-5877,13227,-1481,26805,-1059,15701,1205,19211,5595,24645,13419,14737,8139,16209,13013,6187,-6339,2227,-2565,4747,4845,663,-8523,-4981,-9195,-8069,-5377,-13523,-17489,7959,-7253
