1000,-11435,-2337,-8769,-1755,-6985,-3093,-5921,2647,-991,19499,917,3833,6053,-12519,-2853,1647,1455,2605,887,1221,983,2269,1621,719,-1787,-3831,-1621,-9219,-7475,-8405,-10997,4211,-7467,18083,-649,17329,-21,22051,1225,26187,6293,23269,15279,19803,8657,19013,15249,10645,-7595,5531,-2031,9685,4535,2933,-8609,-5291,-8259,-8267,-3259,-18177,-20855,20041,-14625
1570,-7035,-1493,-5923,-3677,-4005,-5669,-3337,-1243,-937,8645,-571,-2053,2593,-15027,-4309,1499,-827,2115,545,1717,1131,1813,2581,779,501,-1719,-603,-6035,-4311,-6675,-8575,3157,-5523,14527,21,12099,699,17429,841,20997,4515,17645,11817,15291,5979,14037,11497,9243,-5579,5397,-1063,8885,3163,3213,-5843,-3473,-5269,-5201,-1313,-13335,-15689,17771,-12041
1940,-1717,-341,-2473,-4975,-273,-7307,-241,-4553,-553,-2859,-1707,-7185,-1325,-15575,-5143,1205,-2581,1323,213,2069,1243,1213,3219,885,2899,587,523,-2123,-557,-4207,-5189,1669,-2859,9453,699,4523,1371,11051,405,13787,2219,9973,7099,9251,2651,7745,6403,6473,-3045,4437,11,6613,1333,2977,-2415,-1269,-1665,-1353,725,-7051,-9243,12581,-7745
2154,4169,1107,1363,-5595,3857,-7851,3085,-6765,129,-14575,-2477,-10785,-4951,-13875,-5197,891,-3637,427,-75,2155,1285,547,3467,943,4869,3003,1645,2453,3763,-1325,-1107,-145,251,3211,1281,-5093,1813,3243,-139,5079,-567,405,1139,1995,-1321,149,-145,2219,-169,2477,983,2743,-1003,2133,1493,1155,2357,3029,2713,261,-1739,5995,-2439
2106,9353,2459,4843,-5495,7697,-7333,5931,-7931,917,-26273,-2933,-12969,-7659,-10251,-4437,629,-4041,-453,-169,2049,1297,-53,3393,1109,6127,5103,2543,6827,7869,1911,3467,-1983,3573,-4021,1643,-16005,2133,-5679,-661,-4629,-3201,-10485,-5395,-6037,-4875,-8203,-7397,-2633,2821,69,1899,-1811,-2837,1077,5213,3563,5929,7205,4267,7843,5777,-667,3627
1912,13221,3567,7531,-4619,10731,-5851,7849,-7903,1705,-26671,-2945,-13573,-9193,-5045,-3029,407,-3659,-1107,-139,1771,1205,-523,2935,1173,6539,6491,3099,10443,11351,4855,7715,-3317,6475,-10667,1813,-27409,2309,-14075,-1067,-13973,-5099,-21931,-10821,-13429,-7403,-15689,-13749,-7099,5451,-2339,2533,-6027,-4119,-67,8283,5609,8705,10569,5185,14885,12553,-6827,9307
1508,15411,4181,8681,-3051,12417,-3561,8661,-6657,2283,-16929,-2537,-12459,-9301,1041,-1111,139,-2643,-1669,-87,1301,973,-943,2049,1125,6069,6997,3259,12565,13525,7205,11051,-4149,8535,-15179,1835,-31617,2371,-19803,-1109,-20427,-6273,-31765,-14211,-18195,-8877,-20701,-18129,-10357,7243,-4119,2907,-9143,-4769,-1009,10073,6869,10199,12523,5465,20267,17579,-11393,13739
954,16067,4309,8555,-1175,12579,-895,8533,-4711,2563,-12705,-1839,-10153,-8213,7213,971,-43,-1093,-2067,65,731,681,-1205,913,969,4777,6569,2997,13035,14053,8395,12843,-4503,9481,-17413,1623,-30481,2185,-22403,-1045,-23221,-6757,-31445,-15681,-20241,-9321,-22729,-20129,-12757,7663,-5637,2705,-11639,-5035,-1953,10523,7157,10513,13077,4949,23409,20353,-14103,16357
302,14405,3873,6697,1237,10669,2293,7021,-1579,2581,-7133,-723,-5995,-5445,13155,3139,-171,1003,-2213,229,21,355,-1285,-405,723,2569,5259,2373,11765,12745,8425,13001,-4405,9431,-17569,1195,-28215,1747,-22235,-841,-22529,-6447,-29701,-15123,-19845,-8611,-21761,-19621,-13781,7171,-6621,2133,-12855,-4725,-2671,9685,6581,9643,12325,3755,23189,19505,-14921,17347
-386,11045,2907,3541,3319,7273,4917,4617,1609,2261,1007,501,-1355,-2011,16961,4637,-155,3117,-2011,407,-603,11,-1111,-1483,457,-35,3033,1323,8555,9451,7147,11051,-3643,7941,-14755,619,-21653,1107,-18453,-467,-18005,-5047,-23381,-11759,-16315,-6405,-17035,-15767,-12741,5381,-6795,1189,-12353,-3691,-3053,7299,4853,7349,10017,1803,18955,14853,-14401,15875
